speaker,seconds,rec_date,prompt,label,TT_displacement,TT_velocity,TT_abs_velocity,TD_displacement,TD_velocity,TD_abs_velocity,index,file,ipu,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,sex,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c
it01,1.585,29/11/2016 15:10:47,Dico pugu lentamente,closure_,72.9477,-69.756,69.3851,80.5955,13.9369,14.2705,1,it01-001,ipu_1,pugu,0.990023,0.990023,2.624943,1.350023,1.760023,1.4898018211570336,1.58503902278578,1.670023,1.4435333970266342,1.6433991497391578,1.488411254415258,2.001017467620606,512.6062132053479,5,1.488,1.6255,NA,NA,NA,NA,139.77882115703366,93.51039702663422,44.87785738862371,141.50562575914583,95.23720162874638,84.98397721422002,58.36012695337778,89.99999999999986,180.2211788429664,409.99999999999994,1.6349200000000002,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar,4.893205783769236,-0.6098525086242805
it01,1.488,29/11/2016 15:10:47,Dico pugu lentamente,GONS_TD,74.2325,37.8304,38.0592,78.3675,30.4184,30.4794,1,it01-001,ipu_1,pugu,0.990023,0.990023,2.624943,1.350023,1.760023,1.4898018211570336,1.58503902278578,1.670023,1.4435333970266342,1.6433991497391578,1.488411254415258,2.001017467620606,512.6062132053479,5,1.488,1.6255,NA,NA,NA,NA,139.77882115703366,93.51039702663422,44.87785738862371,141.50562575914583,95.23720162874638,84.98397721422002,58.36012695337778,89.99999999999986,180.2211788429664,409.99999999999994,1.6349200000000002,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar,4.893205783769236,-0.6098525086242805
it01,1.6255,29/11/2016 15:10:47,Dico pugu lentamente,max_TD,69.983,-66.9117,67.4629,81.0749,-1.3866,0.8602,1,it01-001,ipu_1,pugu,0.990023,0.990023,2.624943,1.350023,1.760023,1.4898018211570336,1.58503902278578,1.670023,1.4435333970266342,1.6433991497391578,1.488411254415258,2.001017467620606,512.6062132053479,5,1.488,1.6255,NA,NA,NA,NA,139.77882115703366,93.51039702663422,44.87785738862371,141.50562575914583,95.23720162874638,84.98397721422002,58.36012695337778,89.99999999999986,180.2211788429664,409.99999999999994,1.6349200000000002,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar,4.893205783769236,-0.6098525086242805
it01,1.0767,29/11/2016 15:10:52,Dico pada lentamente,closure_,75.8457,89.4972,91.6359,68.6424,-46.7877,47.1931,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,0.981,29/11/2016 15:10:52,Dico pada lentamente,GONS_TT,66.2248,28.7895,26.9814,72.4353,0.7973,1.4458,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,1.1115,29/11/2016 15:10:52,Dico pada lentamente,max_TT,77.4176,-7.1774,4.5586,67.5703,-19.9928,20.8817,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,1.116,29/11/2016 15:10:52,Dico pada lentamente,NOFF_TT,77.3493,-15.9798,13.5231,67.5139,-16.861,17.7269,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,1.102,29/11/2016 15:10:52,Dico pada lentamente,NONS_TT,77.3999,22.3045,25.2838,67.7807,-29.3961,30.2773,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,1.0485,29/11/2016 15:10:52,Dico pada lentamente,peak1_TT,72.4884,122.7398,122.8466,70.294,-52.3548,52.2289,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
it01,1.1485,29/11/2016 15:10:52,Dico pada lentamente,peak2_TT,75.2691,-56.818,56.9897,67.367,5.7678,5.3234,2,it01-002,ipu_2,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977388,75.6390820581183,-0.6679473940195413,159.1799948150543,138.96844304339874,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702266,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.48742204639662035
