item,word,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,language
1,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,Italian
2,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,Italian
3,paca,paka,p,voiceless,a,central,low,k,voiceless,velar,Italian
4,paga,paga,p,voiceless,a,central,low,g,voiced,velar,Italian
5,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,Italian
6,bada,bada,b,voiced,a,central,low,d,voiced,coronal,Italian
7,baca,baka,b,voiced,a,central,low,k,voiceless,velar,Italian
8,baga,baga,b,voiced,a,central,low,g,voiced,velar,Italian
9,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,Italian
10,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,Italian
11,poco,poko,p,voiceless,o,back,mid,k,voiceless,velar,Italian
12,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,Italian
13,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,Italian
14,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,Italian
15,boco,boko,b,voiced,o,back,mid,k,voiceless,velar,Italian
16,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,Italian
17,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,Italian
18,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,Italian
19,pucu,puku,p,voiceless,u,back,high,k,voiceless,velar,Italian
20,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,Italian
21,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,Italian
22,budu,budu,b,voiced,u,back,high,d,voiced,coronal,Italian
23,bucu,buku,b,voiced,u,back,high,k,voiceless,velar,Italian
24,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,Italian
25,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,Polish
26,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,Polish
27,paka,paka,p,voiceless,a,central,low,k,voiceless,velar,Polish
28,paga,paga,p,voiceless,a,central,low,g,voiced,velar,Polish
29,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,Polish
30,bada,bada,b,voiced,a,central,low,d,voiced,coronal,Polish
31,baka,baka,b,voiced,a,central,low,k,voiceless,velar,Polish
32,baga,baga,b,voiced,a,central,low,g,voiced,velar,Polish
33,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,Polish
34,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,Polish
35,poko,poko,p,voiceless,o,back,mid,k,voiceless,velar,Polish
36,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,Polish
37,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,Polish
38,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,Polish
39,boko,boko,b,voiced,o,back,mid,k,voiceless,velar,Polish
40,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,Polish
41,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,Polish
42,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,Polish
43,puku,puku,p,voiceless,u,back,high,k,voiceless,velar,Polish
44,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,Polish
45,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,Polish
46,budu,budu,b,voiced,u,back,high,d,voiced,coronal,Polish
47,buku,buku,b,voiced,u,back,high,k,voiceless,velar,Polish
48,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,Polish
