Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it01	29/11/2016 15:10:47	1.5850	0.0952	Dico pugu lentamente	u	43.5024	30.0954	42.5538	43.9661	42.8705	58.2870	48.7359	70.5662	58.7895	79.8087	72.2458	80.8806	82.5326	74.8421	87.3202	71.0462	91.9073	67.8749	95.2414	64.0842	103.4776	63.6277	46.1029	19.3452	87.5619	23.1783	87.2873	32.5704	87.5619	23.1783
it01	29/11/2016 15:10:52	1.0767	0.1390	Dico pada lentamente	a	35.6118	28.5265	33.7337	41.7442	41.9579	53.5318	54.7914	60.6411	66.7290	67.4461	80.8225	70.5717	93.7013	69.5611	98.6351	68.0578	103.6148	66.4854	107.7500	64.3276	112.5843	62.4824	44.4977	22.0559	87.0605	22.7940	86.8517	31.9402	87.0605	22.7940
it01	29/11/2016 15:10:57	1.2635	0.1269	Dico poco lentamente	O	33.9340	29.6608	32.9519	43.0752	40.9436	54.3172	48.7402	65.2407	56.0714	77.4768	69.1186	80.1703	78.5795	72.4385	82.7738	67.6546	86.0241	63.5347	92.6718	61.3000	96.1781	58.8054	44.5264	21.6559	85.9258	21.7374	85.1020	30.5057	85.9258	21.7374
it01	29/11/2016 15:11:03	1.1634	0.1275	Dico pata lentamente	a	33.6574	29.0436	32.6847	41.2609	40.4838	53.0269	53.1826	61.1190	64.4284	67.3832	78.6141	70.9610	90.5539	70.7671	96.1340	69.7383	101.1408	67.6027	105.8216	65.5134	110.1942	63.2093	44.8129	21.7784	86.1693	22.9080	85.3090	32.2276	86.1693	22.9080
it01	29/11/2016 15:11:08	1.2070	0.1323	Dico boco lentamente	O	34.2792	29.5613	32.6948	42.5472	39.9865	55.3623	46.8487	67.9594	57.2763	76.9984	70.6418	77.2851	80.9664	69.7166	84.3944	65.4900	89.0004	62.0721	94.3034	59.2310	97.9844	56.2528	45.0131	21.5686	86.8813	22.4378	86.0269	31.7595	86.8813	22.4378
it01	29/11/2016 15:11:14	1.2068	0.1253	Dico podo lentamente	O	36.1428	28.7199	32.9078	40.8214	37.4580	53.3320	47.6821	63.0905	59.4906	68.3419	73.1702	69.8229	85.2963	68.0611	91.1158	66.6775	96.9375	66.2764	103.0909	65.3260	109.0588	64.3683	44.4852	21.6752	86.9657	23.4068	85.9889	33.1917	86.9657	23.4068
it01	29/11/2016 15:11:19	1.2615	0.1341	Dico boto lentamente	O	34.6326	28.5567	32.2239	40.2068	36.1752	52.6069	48.2260	64.1518	59.6090	69.4596	73.0557	71.0924	85.4278	68.9776	90.7724	67.4648	95.9706	66.5357	101.5733	66.1512	107.1216	66.4568	44.3362	21.8975	86.5299	23.2717	86.0239	32.5828	86.5299	23.2717
it01	29/11/2016 15:11:25	1.0404	0.1186	Dico paca lentamente	a	33.4786	28.8866	35.9519	41.0048	45.5288	54.6060	53.2494	67.3388	60.8194	76.4740	74.3008	79.2435	84.8400	72.8702	88.5080	67.7100	93.7115	63.5533	97.2450	60.6205	100.9481	57.8999	44.0414	20.5503	85.1204	21.3328	84.6812	30.5819	85.1204	21.3328
it01	29/11/2016 15:11:30	1.0950	0.1302	Dico bodo lentamente	O	33.7528	28.1300	31.9098	40.0866	36.6946	51.3098	48.6281	64.4147	60.5164	69.6134	74.9478	70.9728	87.0606	67.4657	92.1782	65.5160	98.0875	64.3073	104.0343	63.7802	109.4440	63.1097	44.8875	20.6773	87.5090	23.6642	86.6925	33.0402	87.5090	23.6642
it01	29/11/2016 15:11:35	1.0817	0.0991	Dico pucu lentamente	u	42.9237	27.3975	43.3796	41.1413	40.7944	57.3560	46.1293	73.3167	54.1823	79.6630	66.7899	81.3275	77.3424	73.5947	80.9021	68.8140	85.5450	66.2037	89.3398	62.5142	90.8081	53.6337	44.7280	18.2668	87.0349	22.2504	85.7296	31.3487	87.0349	22.2504
