Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it01	29/11/2016 15:10:47	1.2037	0.0137	Dico pugu lentamente	ultrasound	-0.6215	10.3310	1.4533	24.2334	-3.6130	36.9954	3.8378	47.5742	16.3429	55.0828	33.8780	61.4233	44.8323	55.7920	47.9713	51.5180	50.5113	48.2416	54.4016	44.7236	58.6009	39.4618	44.6850	21.5345	86.7236	23.0692	85.8436	31.4715	86.7236	23.0692
it01	29/11/2016 15:10:47	1.2186	0.0285	Dico pugu lentamente	ultrasound	-1.8105	12.8297	-3.0409	26.3924	-1.3362	38.8674	5.9707	50.0618	17.3181	57.1012	34.1538	62.4404	44.9804	55.7395	50.2634	50.6211	52.2877	47.1487	56.2350	42.8898	60.4718	38.5593	45.3162	22.0484	86.6087	23.1821	86.0156	31.8990	86.6087	23.1821
it01	29/11/2016 15:10:47	1.2334	0.0434	Dico pugu lentamente	ultrasound	-2.0268	10.6256	2.2636	24.3410	4.1678	37.3045	9.3593	49.6872	19.6390	57.6566	33.7906	59.5129	45.2498	53.1659	49.6785	48.5586	53.5074	44.7804	56.7577	41.9236	60.6133	38.6100	45.6239	21.8849	87.3901	23.0416	87.3757	31.5105	87.3901	23.0416
it01	29/11/2016 15:10:47	1.2483	0.0583	Dico pugu lentamente	ultrasound	-1.6222	11.9544	1.0593	25.1798	4.0665	37.6011	9.2207	49.4627	19.0368	56.8073	33.1859	59.1351	43.9320	53.6671	48.3191	49.4819	52.0670	45.6113	55.0486	42.7777	58.1583	38.8601	46.0401	21.3767	87.2397	22.8332	87.0084	31.9546	87.2397	22.8332
it01	29/11/2016 15:10:47	1.2632	0.0732	Dico pugu lentamente	ultrasound	-4.9994	13.5471	0.9891	26.5064	5.5723	38.7175	9.9190	51.3424	20.2589	59.8782	33.5838	60.4049	43.6510	53.3457	47.6412	49.5593	50.2015	45.0239	52.3994	41.4512	57.0776	37.8515	45.2483	22.0306	88.5851	23.2045	88.8087	32.0833	88.5851	23.2045
it01	29/11/2016 15:10:47	1.2781	0.0881	Dico pugu lentamente	ultrasound	-6.0571	12.9108	-0.5564	25.6265	4.4421	37.4949	9.8122	49.1959	16.8096	57.0698	29.0458	59.7868	38.8063	51.6318	43.3590	47.6303	46.4459	44.3032	50.0999	41.7720	54.9132	38.4282	45.4970	21.9455	89.8723	23.5765	89.2211	32.5141	89.8723	23.5765
it01	29/11/2016 15:10:47	1.2930	0.1030	Dico pugu lentamente	ultrasound	-7.2045	10.8479	-2.9925	23.6942	2.9432	35.0671	7.4576	47.4857	16.0973	54.9577	29.0998	57.2150	38.1762	49.0030	42.5797	45.6386	47.6538	43.3033	50.9406	41.1656	57.1596	38.4557	45.1808	21.4775	87.8536	23.1126	88.4473	32.1521	87.8536	23.1126
it01	29/11/2016 15:10:47	1.3078	0.1178	Dico pugu lentamente	ultrasound	-7.8366	9.1642	-4.6969	22.2477	1.4162	33.9083	6.3207	44.5765	14.8012	54.3272	27.0540	56.7216	37.5379	50.2517	42.5712	45.4765	47.0365	43.0293	50.8004	40.2460	54.9899	34.4200	45.1199	21.0682	88.2092	22.4246	88.6844	32.0208	88.2092	22.4246
it01	29/11/2016 15:10:47	1.3227	0.1327	Dico pugu lentamente	ultrasound	-8.7646	9.5164	-6.0786	21.8339	-0.1925	33.1696	5.4363	43.7289	13.5232	53.7434	26.2717	56.1074	36.2938	46.8446	40.7627	42.3659	45.8950	37.9704	50.5457	34.8569	54.5980	31.1842	44.8704	21.5883	89.0760	22.1770	89.1100	31.3573	89.0760	22.1770
it01	29/11/2016 15:10:47	1.3376	0.1476	Dico pugu lentamente	ultrasound	-8.7085	10.0405	-5.5576	22.8172	0.0008	34.1785	4.8471	45.7747	13.3821	53.8973	26.5221	55.5955	37.9018	48.5455	41.8606	44.1954	45.8817	39.9119	49.8067	35.9906	53.3512	31.8882	45.0263	21.1188	89.7691	22.0245	89.4253	31.1699	89.7691	22.0245
it01	29/11/2016 15:10:47	1.3525	0.1625	Dico pugu lentamente	ultrasound	-9.5302	10.0860	-6.3635	22.2148	0.2590	32.5081	6.3539	42.7924	14.4704	51.8597	27.4730	54.3898	38.7199	47.0494	43.0704	43.1192	47.0074	39.1901	50.5410	34.9751	53.2905	30.6534	45.3211	20.6600	88.4106	22.9889	88.3745	31.8568	88.4106	22.9889
it01	29/11/2016 15:10:47	1.3674	0.1774	Dico pugu lentamente	ultrasound	-8.1355	9.2669	-5.2738	21.8355	0.9372	33.0335	7.0045	43.5363	15.7507	53.6034	27.6632	55.2762	39.1334	48.3503	43.0914	43.7117	48.2295	40.9987	52.4513	38.5170	57.4545	37.0754	44.6711	21.2279	89.8508	22.9952	89.2330	32.2432	89.8508	22.9952
it01	29/11/2016 15:10:47	1.3823	0.1923	Dico pugu lentamente	ultrasound	-8.3349	9.5092	-4.8232	22.6596	1.0886	34.0206	7.3823	43.9029	16.9244	53.2747	29.0140	54.4673	40.3205	47.8170	44.4179	43.7653	48.9625	41.1172	53.6948	38.6045	58.3314	35.7394	44.3326	20.8744	90.4332	23.1784	89.5709	31.9289	90.4332	23.1784
it01	29/11/2016 15:10:47	1.3971	0.2071	Dico pugu lentamente	ultrasound	-8.7339	9.8217	-4.9458	22.6700	0.3709	32.2561	5.8742	42.7365	15.7845	53.2314	27.6348	53.5196	38.7354	46.4906	42.5319	43.9419	47.4987	41.6342	53.1710	37.3378	56.8279	34.0116	44.8055	21.2064	88.0657	22.7874	87.9817	31.4691	88.0657	22.7874
it01	29/11/2016 15:10:47	1.4121	0.2220	Dico pugu lentamente	ultrasound	-8.2206	9.1549	-4.8645	21.2439	-0.2395	32.0207	5.1008	42.2682	13.6818	51.3716	25.8172	54.1332	37.7991	47.3937	42.1323	44.4690	47.3858	41.6964	52.2681	39.3872	56.0373	33.4914	44.3966	21.6654	89.7636	22.7419	88.7756	31.8588	89.7636	22.7419
it01	29/11/2016 15:10:47	1.4269	0.2369	Dico pugu lentamente	ultrasound	-8.3351	8.2010	-6.1309	20.3079	-1.3679	31.3349	4.7617	41.1499	13.2852	51.6160	25.9342	55.0677	37.2831	49.0995	42.3148	44.0134	47.9474	40.1073	51.8830	36.1306	54.5742	31.3216	44.5575	21.3492	88.5857	22.1673	88.6593	30.1555	88.5857	22.1673
it01	29/11/2016 15:10:47	1.4418	0.2518	Dico pugu lentamente	ultrasound	-7.8251	9.5743	-4.7010	22.4065	0.3700	33.2015	6.9246	44.0271	16.4595	54.7454	28.2922	56.4057	39.8554	49.9359	44.7851	44.9881	47.7949	40.6739	51.3844	36.2523	53.7473	31.2226	44.4267	20.0354	88.9178	22.2763	88.6605	30.6136	88.9178	22.2763
it01	29/11/2016 15:10:47	1.4567	0.2667	Dico pugu lentamente	ultrasound	-6.7622	8.4213	-5.9869	22.1936	-3.0649	34.0254	3.5665	46.2921	13.1349	55.8897	26.5312	57.2123	38.0877	49.6128	42.7397	44.5362	45.7513	39.6316	49.5444	35.1795	52.0956	29.8766	44.5999	20.3968	88.3553	21.7547	87.8962	30.3611	88.3553	21.7547
it01	29/11/2016 15:10:47	1.4716	0.2815	Dico pugu lentamente	ultrasound	-6.3092	10.0535	-5.3372	23.7803	-2.1980	35.9372	4.1256	46.9367	12.7810	56.8321	26.4264	58.6142	38.2979	51.9168	43.8071	47.7357	48.4746	43.6890	54.1393	41.4488	56.1566	34.1843	45.3738	19.9853	87.9241	22.2069	87.5488	31.3549	87.9241	22.2069
it01	29/11/2016 15:10:47	1.4865	0.2965	Dico pugu lentamente	ultrasound	-5.0600	10.2167	-4.2734	23.8399	-1.1963	36.4578	5.9270	47.1993	14.4467	55.6222	27.3504	57.7738	38.7802	50.8569	43.8293	46.5413	47.3747	42.9558	51.1716	38.5729	54.3523	33.2074	44.5233	20.4530	87.1973	22.8812	86.8923	31.4638	87.1973	22.8812
it01	29/11/2016 15:10:47	1.5014	0.3113	Dico pugu lentamente	ultrasound	-5.3073	9.5769	-4.1312	23.1561	-3.1676	35.0968	3.1656	46.0406	13.2756	55.0328	26.5414	59.8607	38.4722	54.4121	43.6419	50.9340	47.5498	45.3427	50.5537	40.9062	52.0526	32.9421	45.1421	20.7047	86.6340	23.4083	86.6503	31.6495	86.6340	23.4083
it01	29/11/2016 15:10:47	1.5162	0.3262	Dico pugu lentamente	ultrasound	-5.0975	9.7147	-4.5522	23.8581	-3.0383	36.3498	3.9409	47.9163	13.1630	55.7965	26.5465	57.9386	37.3506	50.6752	43.3217	47.5000	47.5223	43.7017	52.2374	41.4516	53.9834	34.0804	45.1068	20.5981	86.7393	23.3147	86.2444	32.0879	86.7393	23.3147
it01	29/11/2016 15:10:47	1.5311	0.3411	Dico pugu lentamente	ultrasound	-4.2130	8.6542	-3.8230	22.5345	-2.6361	35.8385	3.2193	47.7143	12.3591	56.8191	26.3139	60.3313	37.2260	53.6223	42.1649	49.6168	46.1993	45.7943	50.0108	40.3996	50.9783	32.9769	45.3291	20.4701	87.5461	22.5773	87.2942	30.9360	87.5461	22.5773
it01	29/11/2016 15:10:47	1.5460	0.3560	Dico pugu lentamente	ultrasound	-4.9441	9.2821	-3.5016	23.1406	-2.3552	36.1929	3.5086	47.6118	12.5622	57.0062	26.8556	60.4859	37.8441	54.5812	43.5416	50.9123	48.2918	48.6336	52.9395	45.6247	54.7775	34.1354	45.0003	19.8670	87.6661	22.1084	87.2181	31.3068	87.6661	22.1084
it01	29/11/2016 15:10:47	1.5609	0.3709	Dico pugu lentamente	ultrasound	-4.1005	9.7429	-3.8138	23.4438	-3.4214	36.6302	2.4437	50.4173	14.1541	58.7551	28.7903	60.1176	39.9317	52.5287	43.5390	47.5199	47.4496	43.3285	50.8489	38.1947	53.9219	32.4325	45.3527	19.9733	89.3466	21.7092	87.8362	30.6303	89.3466	21.7092
