Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
it02	12/12/2016 14:42:09	1.5674	0.0075	Dico pugu lentamente	-4.7413	11.2409	-6.2554	25.3868	-5.3999	39.6412	-2.4970	53.8628	11.2200	62.3169	27.4533	62.6249	38.7137	54.8990	42.3869	50.7238	44.4365	46.7326	46.5090	42.0841	47.5961	35.3714	47.4059	21.1208	86.3761	24.7240	84.7277	34.3036	86.3761	24.7240
it02	12/12/2016 14:42:09	1.5823	0.0224	Dico pugu lentamente	-3.9176	12.0363	-4.8621	25.3711	-3.8737	40.1442	3.4631	52.9764	15.0024	61.6821	29.5957	61.4374	40.6631	53.3196	43.4182	48.8034	44.4042	44.1892	46.5288	38.9520	47.2291	34.0860	46.8770	21.8012	85.9926	25.2313	84.5849	34.5411	85.9926	25.2313
it02	12/12/2016 14:42:09	1.5972	0.0373	Dico pugu lentamente	-5.7702	11.3597	-5.2793	26.0890	-2.6043	38.6236	4.5939	51.6078	14.8874	60.5554	30.9683	62.2201	41.1505	54.1233	44.7117	49.0766	46.8312	46.0033	49.4504	41.0985	50.9973	36.0418	46.6395	22.2078	86.6410	25.2410	85.1509	35.1533	86.6410	25.2410
it02	12/12/2016 14:42:09	1.6121	0.0522	Dico pugu lentamente	-6.8941	10.5118	-7.3209	27.1996	-5.6625	41.3451	-0.0336	55.1117	13.2048	62.2369	27.8151	60.7041	37.3502	51.6298	39.9990	46.2155	42.2636	40.4805	45.4706	35.1934	47.3544	29.6075	47.7569	22.3443	86.4153	25.1309	85.2574	34.8103	86.4153	25.1309
it02	12/12/2016 14:42:09	1.6270	0.0670	Dico pugu lentamente	-6.3826	10.8765	-3.4280	26.2745	1.1701	39.1192	5.4875	52.5552	15.2611	61.6600	28.2094	61.6637	39.7053	53.7948	42.7258	47.9238	44.9157	41.8876	47.6812	36.7426	48.8550	30.4017	46.2795	21.3842	86.7069	25.6976	85.5681	34.8882	86.7069	25.6976
it02	12/12/2016 14:42:09	1.6419	0.0819	Dico pugu lentamente	-8.1346	10.6597	-8.4806	24.8822	-4.6967	37.6303	1.0484	50.1753	11.7071	58.7000	25.6293	60.6876	36.3403	52.6720	38.9858	46.8589	41.0996	41.2236	43.4572	36.0745	45.7679	30.7973	46.6199	21.5815	86.9743	25.0074	86.0942	34.5938	86.9743	25.0074
it02	12/12/2016 14:42:09	1.6567	0.0968	Dico pugu lentamente	-7.5509	10.5873	-7.7439	24.9946	-3.9233	37.5289	2.9148	50.2609	11.7943	59.0328	25.8262	60.6401	35.2486	51.5804	38.5451	45.3261	40.7738	39.9825	43.5886	34.5652	45.5496	28.6181	45.7464	21.6218	87.0236	24.6414	85.6638	34.1518	87.0236	24.6414
it02	12/12/2016 14:42:09	1.6716	0.1117	Dico pugu lentamente	-8.4069	8.4043	-8.7830	22.2874	-6.0918	35.1553	-1.2973	47.4723	8.5073	57.5723	21.5413	59.2103	33.6098	51.8462	37.7628	46.3577	41.8430	41.9241	47.3465	39.8552	52.6494	39.3801	46.4350	22.0166	87.3404	24.7153	85.7543	34.1941	87.3404	24.7153
it02	12/12/2016 14:42:09	1.6865	0.1266	Dico pugu lentamente	-7.8511	8.3911	-10.1775	21.8858	-5.6440	33.7218	-1.9923	46.9497	8.0355	56.9071	22.0787	58.4454	33.1666	48.5081	35.8455	42.8851	39.0296	37.8813	42.9237	33.1349	45.3853	28.1006	46.6908	21.5566	87.2137	25.0110	85.8742	33.9721	87.2137	25.0110
it02	12/12/2016 14:42:09	1.7014	0.1415	Dico pugu lentamente	-7.8326	8.7887	-9.2165	22.7925	-6.9285	35.6250	-2.0100	48.6935	8.4897	57.3585	22.6145	58.1933	33.6970	49.0391	37.6314	43.0181	41.9163	38.6780	45.4499	34.4314	46.9335	29.7599	47.0869	20.7306	87.5304	25.0769	86.2098	33.9561	87.5304	25.0769
it02	12/12/2016 14:42:09	1.7163	0.1563	Dico pugu lentamente	-7.7762	8.1310	-9.4202	21.4411	-7.6526	33.4094	-3.3989	46.8564	6.6077	55.4688	21.0256	55.7480	31.4437	46.0934	34.6472	40.2854	38.7271	36.0674	43.5359	32.6081	46.0406	28.0954	46.5998	21.8278	87.7932	24.8207	85.9868	33.3279	87.7932	24.8207
it02	12/12/2016 14:42:09	1.7312	0.1712	Dico pugu lentamente	-8.2179	8.2325	-9.9954	21.2115	-6.9946	33.3742	-1.8826	45.4379	7.8482	54.4374	20.0516	56.3066	32.0595	48.2350	36.0522	42.2384	40.7655	37.2606	44.5212	33.4258	47.0346	28.1153	45.5339	21.3056	87.9799	25.1056	85.9697	33.5127	87.9799	25.1056
it02	12/12/2016 14:42:09	1.7460	0.1861	Dico pugu lentamente	-7.0902	8.4506	-9.1562	20.1397	-7.6681	33.3863	-3.2755	46.0482	7.6064	55.9894	18.4757	56.8615	31.1404	50.4786	36.1972	45.8314	40.4545	40.7976	46.5311	38.6613	47.7089	32.5522	45.1658	20.7561	87.7694	24.9872	86.2761	33.6678	87.7694	24.9872
it02	12/12/2016 14:42:09	1.7609	0.2010	Dico pugu lentamente	-7.1377	9.1855	-8.5900	22.2829	-5.9845	35.0349	-1.6563	47.4347	9.0824	56.2484	20.6318	56.4586	32.0051	47.5104	36.4271	42.0843	40.3571	37.8360	45.6313	33.7593	48.4653	29.8865	44.9539	20.4992	88.2791	24.9999	86.1482	33.0424	88.2791	24.9999
it02	12/12/2016 14:42:09	1.7758	0.2159	Dico pugu lentamente	-9.2301	8.9955	-10.6118	22.7207	-7.7142	35.4834	-4.4981	47.3711	5.2777	55.0620	17.4898	56.0096	28.6527	48.6164	34.1268	42.8155	38.5727	38.6293	43.5097	36.1911	47.2732	32.2984	45.6314	21.3879	88.5256	25.3544	86.6818	33.2893	88.5256	25.3544
it02	12/12/2016 14:42:09	1.7907	0.2308	Dico pugu lentamente	-8.9016	8.2347	-10.4334	21.3430	-8.2605	33.6657	-4.1638	45.8368	5.3212	55.3055	17.9918	56.1600	28.3903	48.0484	33.7321	42.8437	38.7948	38.7926	43.8944	35.1433	47.0067	31.2913	45.6026	21.5405	89.1982	24.6139	88.3097	33.2086	89.1982	24.6139
it02	12/12/2016 14:42:09	1.8056	0.2457	Dico pugu lentamente	-9.6321	8.8237	-10.3969	22.9156	-7.3723	36.4022	-2.6833	48.6983	7.4422	56.1665	20.7804	54.5017	30.5438	46.7655	35.1798	41.7540	39.4211	37.8861	44.0939	34.6831	47.5490	31.0397	45.4429	21.9056	90.0707	25.1350	87.8447	33.5846	90.0707	25.1350
it02	12/12/2016 14:42:09	1.8204	0.2605	Dico pugu lentamente	-9.1155	8.6852	-10.5115	21.0127	-7.9917	33.3641	-5.3378	47.1104	6.9869	56.9900	16.7481	56.4856	30.2014	49.9817	35.4573	43.0222	40.6966	39.1170	45.1621	38.2266	48.3859	35.7072	46.0131	21.4771	88.8840	25.4938	87.2014	33.6067	88.8840	25.4938
it02	12/12/2016 14:42:09	1.8353	0.2754	Dico pugu lentamente	-8.7360	8.8258	-10.3476	22.2995	-8.4319	34.8461	-4.0951	47.5961	7.1424	56.4876	17.8479	57.2203	29.8576	49.3900	33.7024	44.5977	38.1581	40.9264	43.0676	37.9386	47.0696	36.0763	46.1957	21.3491	89.5726	25.0382	88.5657	32.9867	89.5726	25.0382
it02	12/12/2016 14:42:09	1.8502	0.2903	Dico pugu lentamente	-8.8718	9.9315	-9.1019	23.6393	-6.9687	37.1140	-4.0508	50.0414	5.5424	57.8946	19.2666	57.9528	30.6362	49.5601	34.2688	44.9852	38.9079	40.9108	44.4772	38.2389	48.1590	33.0202	46.5441	21.6413	89.2511	24.9468	88.3414	33.4507	89.2511	24.9468
it02	12/12/2016 14:42:09	1.8651	0.3052	Dico pugu lentamente	-9.1692	10.2213	-8.7128	23.9242	-6.5286	37.1532	-3.4890	49.8167	6.2074	57.6902	19.4701	58.0179	29.7313	50.9119	34.9179	46.7600	40.1758	41.4372	44.3456	38.6852	49.0683	36.7717	46.7548	21.9912	89.6097	25.0817	87.8683	33.9391	89.6097	25.0817
it02	12/12/2016 14:42:09	1.8800	0.3201	Dico pugu lentamente	-9.8465	8.4578	-11.6746	22.4503	-9.2202	35.3071	-4.6707	48.8844	5.4890	58.3310	19.9806	59.7007	31.6760	51.4717	35.8332	46.8730	40.5442	41.6477	45.3116	37.9424	52.1558	37.1580	46.4446	22.0921	89.6956	24.8366	88.1973	34.6111	89.6956	24.8366
it02	12/12/2016 14:42:09	1.8949	0.3350	Dico pugu lentamente	-8.8087	8.1253	-9.6246	22.6046	-7.6637	36.1757	-3.7297	49.0347	4.9778	58.7690	19.3780	60.8845	30.4277	52.1526	35.5892	47.3274	40.5277	42.0320	44.5290	38.1165	49.9498	32.5239	46.6214	22.4335	88.8104	24.6113	87.4835	33.3768	88.8104	24.6113
it02	12/12/2016 14:42:09	1.9098	0.3498	Dico pugu lentamente	-8.7195	9.3015	-8.9841	24.0342	-6.8158	37.5927	-3.5938	50.5171	6.2660	60.0593	19.9775	60.4643	31.4104	52.4449	35.6287	47.7173	39.6193	42.9318	43.0007	38.8037	47.0863	32.3912	47.5697	22.5680	88.4263	24.7210	86.8922	34.2350	88.4263	24.7210
it02	12/12/2016 14:42:09	1.9247	0.3647	Dico pugu lentamente	-9.5568	10.8753	-7.7158	25.3566	-4.0384	38.0177	-1.2751	51.4958	8.2704	61.7037	24.2105	63.2131	35.5013	54.2640	40.2101	49.7125	43.3872	45.0106	47.7991	40.8199	50.1996	33.6221	47.3016	22.2694	88.6540	24.4476	87.2037	33.8030	88.6540	24.4476
it02	12/12/2016 14:42:09	1.9396	0.3796	Dico pugu lentamente	-8.2746	9.6522	-8.6620	24.6333	-5.1171	37.6430	-2.0430	51.2674	7.4320	61.0892	24.0743	61.8741	35.8925	54.9073	39.9292	49.8332	43.7924	44.8987	47.7583	40.7430	50.7315	34.4933	47.3978	21.9649	88.9232	24.8712	87.5714	33.9299	88.9232	24.8712
it02	12/12/2016 14:42:09	1.9544	0.3945	Dico pugu lentamente	-6.7973	10.0181	-5.8273	23.2909	-1.9815	35.0721	3.5677	48.1091	13.8329	61.1225	28.6958	62.9758	38.4600	53.6417	43.0858	49.1488	46.7303	45.0262	52.3279	42.9853	51.0145	35.5313	47.2371	22.3538	88.7806	24.7699	87.5310	32.8625	88.7806	24.7699
it02	12/12/2016 14:42:09	1.9693	0.4094	Dico pugu lentamente	-7.3234	10.1304	-5.8414	25.1550	-4.2734	37.6829	-1.1262	52.0677	9.3611	62.1414	24.0027	63.1548	35.5677	57.6294	40.6575	52.4638	44.8496	49.8117	50.8260	46.1114	55.7664	43.7939	47.1803	22.7319	89.2214	25.1655	87.2440	34.6456	89.2214	25.1655
it02	12/12/2016 14:42:09	1.9842	0.4242	Dico pugu lentamente	-7.4215	10.9463	-6.2017	26.9165	-3.2887	39.4741	1.3620	53.2024	11.1303	61.9126	25.7516	61.7924	35.4825	53.4324	38.7823	48.4981	41.6667	44.3096	45.2890	40.0398	50.3053	34.7330	47.5106	22.5247	88.9237	24.9610	86.8039	33.6262	88.9237	24.9610
it02	12/12/2016 14:42:09	1.9990	0.4391	Dico pugu lentamente	-8.4811	10.1204	-8.3330	25.7838	-5.8232	39.3213	-1.2461	53.2554	9.9751	61.7041	25.1451	61.0249	35.6865	52.5858	39.0340	47.1284	42.2287	41.8375	45.6485	36.2157	49.0399	30.7806	46.9850	22.5926	88.7470	24.9729	86.3563	34.4129	88.7470	24.9729
it02	12/12/2016 14:42:09	2.0140	0.4540	Dico pugu lentamente	-7.9512	8.9620	-7.9088	23.5504	-4.5985	36.6885	-0.6150	49.8397	8.2142	60.3493	22.6529	60.9425	34.4616	53.1007	38.8132	48.5018	42.5827	44.4015	48.3660	42.3519	52.3922	37.0887	47.3424	22.0368	89.0341	24.8632	87.5560	34.3594	89.0341	24.8632
it02	12/12/2016 14:42:09	2.0288	0.4689	Dico pugu lentamente	-6.9751	8.4647	-7.8593	22.2523	-6.0430	35.6374	-1.2993	48.9774	9.0929	57.8152	23.3479	59.4993	34.7194	50.3634	37.6959	44.8928	41.8179	40.0368	46.7559	36.1587	51.3230	31.7682	46.7452	22.0298	88.3017	25.2148	86.6787	34.6548	88.3017	25.2148
it02	12/12/2016 14:42:09	2.0437	0.4838	Dico pugu lentamente	-6.4375	9.6412	-6.6804	23.7299	-3.8943	36.5808	0.1876	49.3578	8.8731	58.3990	22.4751	59.6855	32.7601	49.9990	35.8188	45.4371	41.0458	40.9568	45.6436	36.6261	49.0777	30.6444	46.0823	21.5373	88.3440	24.6451	86.6550	34.4929	88.3440	24.6451
it02	12/12/2016 14:42:09	2.0586	0.4987	Dico pugu lentamente	-7.5753	10.7825	-7.8608	24.8580	-6.0924	38.0842	-1.1923	50.3776	9.7203	57.9937	24.3464	57.7912	33.8893	47.6457	38.3653	42.7670	43.0450	39.2436	47.6958	35.7585	52.2943	31.9937	45.0936	22.2467	88.2807	24.9191	86.7871	34.4417	88.2807	24.9191
it02	12/12/2016 14:42:09	2.0735	0.5135	Dico pugu lentamente	-7.3790	10.2501	-8.4084	23.9629	-6.4561	36.9992	-1.7564	48.9755	8.2737	56.9292	22.7871	57.7971	33.1335	48.9286	37.3028	45.2259	42.9964	41.9187	48.3554	40.0196	53.2486	38.8063	45.5372	22.1579	88.9175	24.6472	87.1649	34.0070	88.9175	24.6472
it02	12/12/2016 14:42:09	2.0884	0.5285	Dico pugu lentamente	-7.6812	10.2195	-9.2089	23.7927	-7.1747	36.9024	-2.2621	47.7643	7.6849	55.4991	21.5473	55.9270	32.0684	48.1403	37.6274	45.5142	43.7557	42.9416	49.2085	41.9263	54.6126	41.5931	46.3684	22.2788	88.5341	25.0853	87.2580	34.9299	88.5341	25.0853
it02	12/12/2016 14:42:09	2.1033	0.5433	Dico pugu lentamente	-6.8927	8.4976	-9.7924	21.5467	-8.4875	34.3928	-1.8788	45.3466	8.1027	53.3216	22.1977	53.0061	33.9155	48.3974	40.2185	46.5520	45.8288	44.9031	51.3178	43.2667	57.4074	41.7776	46.3155	23.0231	88.0403	25.0503	87.4875	34.4022	88.0403	25.0503
it02	12/12/2016 14:42:09	2.1181	0.5582	Dico pugu lentamente	-7.0753	10.4413	-9.1260	23.9109	-6.4910	35.9860	1.3844	45.8275	11.1855	53.0759	24.8361	53.1148	36.5713	48.0007	42.6938	46.2585	48.5327	44.3259	54.1144	42.6698	61.1407	41.5661	45.1597	22.6340	87.4273	25.7124	86.7118	35.0201	87.4273	25.7124
it02	12/12/2016 14:42:09	2.1330	0.5731	Dico pugu lentamente	-7.1990	8.6234	-7.8562	22.2613	-4.0017	34.7166	2.2407	44.7497	11.5720	52.0150	25.5105	52.4836	36.5132	47.1261	42.7273	44.5974	48.4579	42.8259	54.1978	41.0821	60.4764	39.6790	45.3934	22.1492	86.4992	25.8994	85.5896	34.9632	86.4992	25.8994
it02	12/12/2016 14:42:09	2.1479	0.5880	Dico pugu lentamente	-8.7354	7.4602	-10.3591	21.3439	-6.8546	33.4831	-0.0137	42.8556	9.7675	51.2698	23.7561	51.9783	36.0107	46.7272	42.4903	43.8510	48.4574	41.3115	53.8704	39.1769	60.8026	38.4412	46.0906	22.3784	86.5726	25.4270	85.4511	34.3061	86.5726	25.4270
it02	12/12/2016 14:42:09	2.1628	0.6029	Dico pugu lentamente	-8.5212	8.0078	-8.4025	21.6251	-3.7441	33.5767	3.3644	43.5576	13.2840	51.2688	27.2730	52.2591	38.4358	46.3689	43.7894	43.0826	48.8943	40.1051	54.1848	38.1475	60.0975	37.0628	45.2966	21.3211	86.5147	25.6275	85.1951	34.7485	86.5147	25.6275
it02	12/12/2016 14:42:09	2.1777	0.6178	Dico pugu lentamente	-7.9423	8.3514	-8.4708	20.8517	-4.7083	32.4145	2.4440	42.2037	11.8011	50.0327	25.3973	52.3592	37.7026	45.8176	42.2181	41.9828	47.6189	38.7146	53.5753	36.5299	59.1764	35.6024	46.3131	21.5515	86.2352	25.2209	85.0064	34.3797	86.2352	25.2209
it02	12/12/2016 14:42:09	2.1926	0.6326	Dico pugu lentamente	-7.5113	8.1867	-7.2423	20.9612	-2.2533	32.8044	4.6043	42.6434	14.6244	50.9838	28.5719	52.0963	39.9453	45.0761	44.1400	40.5548	49.1008	37.1888	54.5285	34.3471	59.4468	33.1260	46.6124	20.9640	86.5496	25.5575	85.2450	34.7876	86.5496	25.5575
it02	12/12/2016 14:42:09	2.2074	0.6475	Dico pugu lentamente	-8.8888	8.5662	-7.3608	20.6984	-1.6896	32.0701	5.8011	41.7797	14.9426	50.1157	28.6473	51.6717	39.3525	44.6832	43.8227	40.5406	48.8477	37.3532	54.2910	34.8762	59.0345	33.3461	46.9087	20.9609	86.7964	25.7658	85.3865	34.6560	86.7964	25.7658
it02	12/12/2016 14:42:18	0.6562	0.0037	Dico butu lentamente	-5.8833	11.1612	-5.2064	27.1613	-3.1883	41.8259	0.4434	55.6554	13.9340	63.1745	28.6359	62.7490	39.7808	55.0410	43.3684	50.3496	45.8603	45.4524	47.1183	41.1661	48.6722	35.8472	46.9738	21.8899	85.8020	24.9887	84.3883	34.8659	85.8020	24.9887
it02	12/12/2016 14:42:18	0.6710	0.0186	Dico butu lentamente	-7.4118	13.4306	-5.7609	27.8715	-1.7759	42.7175	2.2258	55.6230	14.9857	62.7733	28.5972	62.5593	39.4900	55.2162	43.0137	50.4149	45.1739	46.1004	46.8271	42.5018	48.1071	36.5432	47.8174	21.5166	86.0564	25.0415	84.6924	34.6227	86.0564	25.0415
