EPG Contact [1,0]	EPG Contact [2,0]	EPG Contact [3,0]	EPG Contact [4,0]	EPG Contact [5,0]	EPG Contact [6,0]	EPG Contact [0,1]	EPG Contact [1,1]	EPG Contact [2,1]	EPG Contact [3,1]	EPG Contact [4,1]	EPG Contact [5,1]	EPG Contact [6,1]	EPG Contact [7,1]	EPG Contact [0,2]	EPG Contact [1,2]	EPG Contact [2,2]	EPG Contact [3,2]	EPG Contact [4,2]	EPG Contact [5,2]	EPG Contact [6,2]	EPG Contact [7,2]	EPG Contact [0,3]	EPG Contact [1,3]	EPG Contact [2,3]	EPG Contact [3,3]	EPG Contact [4,3]	EPG Contact [5,3]	EPG Contact [6,3]	EPG Contact [7,3]	EPG Contact [0,4]	EPG Contact [1,4]	EPG Contact [2,4]	EPG Contact [3,4]	EPG Contact [4,4]	EPG Contact [5,4]	EPG Contact [6,4]	EPG Contact [7,4]	EPG Contact [0,5]	EPG Contact [1,5]	EPG Contact [2,5]	EPG Contact [3,5]	EPG Contact [4,5]	EPG Contact [5,5]	EPG Contact [6,5]	EPG Contact [7,5]	EPG Contact [0,6]	EPG Contact [1,6]	EPG Contact [2,6]	EPG Contact [3,6]	EPG Contact [4,6]	EPG Contact [5,6]	EPG Contact [6,6]	EPG Contact [7,6]	EPG Contact [0,7]	EPG Contact [1,7]	EPG Contact [2,7]	EPG Contact [3,7]	EPG Contact [4,7]	EPG Contact [5,7]	EPG Contact [6,7]	EPG Contact [7,7]	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.1696	0.0146	Dico paca lentamente	-14.2760	-9.3784	-18.9650	-4.9734	-21.0998	-0.4487	-23.9265	1.6644	-26.4525	4.7231	-25.6616	15.9732	-19.5777	13.8240	-7.1986	24.9282	-7.0282	24.8522	-6.3723	25.1186	-8.1201	28.8518	109.8458	37.4532	122.5969	28.5387	119.3384	36.7522	122.5969	28.5387
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.1930	0.0381	Dico paca lentamente	-12.7619	-9.9472	-12.6239	1.6736	-14.5361	6.0395	-19.3751	3.5899	10.8353	-0.0641	-30.6691	-1.8927	-27.9570	-0.1879	-26.8017	0.0576	-29.2101	-18.3344	14.6312	6.5243	12.4618	6.2595	109.7882	37.9892	124.0941	28.6423	122.1050	35.3244	124.0941	28.6423
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.2164	0.0614	Dico paca lentamente	-5.6133	2.9691	-5.2913	7.0562	-7.4564	7.3379	23.6309	5.9505	26.9111	6.7859	-2.5149	28.4654	-5.8816	18.7024	-6.1060	17.5487	-5.6571	15.2052	-10.9606	9.2151	59.1956	21.0052	82.0312	26.2481	123.6166	27.7964	121.8676	34.3211	123.6166	27.7964
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.2398	0.0848	Dico paca lentamente	1.0964	8.5670	1.9573	14.2894	25.5184	18.4321	25.6324	18.7371	37.1124	4.8791	37.7916	5.3931	40.5726	5.0304	41.0197	5.8861	49.8724	4.4815	46.8802	7.2855	51.1801	23.4401	80.4580	24.1552	124.3891	28.1748	123.1566	35.0263	124.3891	28.1748
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.2632	0.1082	Dico paca lentamente	6.2702	9.7741	8.2822	16.0156	9.4229	29.7431	6.8102	33.1856	19.1875	33.6342	33.3424	48.4170	38.6502	41.6374	43.6658	34.1380	44.9594	32.8844	47.2244	30.9347	53.4562	24.8432	84.1531	23.0700	124.0741	27.1634	122.8394	34.6848	124.0741	27.1634
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.2866	0.1316	Dico paca lentamente	8.1854	6.4425	7.4743	8.6108	11.6611	35.6413	12.3827	7.0006	13.6964	48.8539	28.8924	48.2625	36.1736	41.3380	41.1882	32.7847	44.0739	29.0322	47.3439	24.7494	48.6610	26.9014	82.3613	27.7551	124.5127	27.7547	122.9379	34.9769	124.5127	27.7547
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.3101	0.1551	Dico paca lentamente	-3.9967	-0.6757	-12.2715	3.3235	-16.8521	8.4136	-19.4326	17.7952	-15.8776	25.3665	-5.6027	33.4724	4.0009	33.1228	8.2018	31.0413	12.4940	30.8754	17.7573	30.8665	20.7180	29.3543	94.8829	47.5384	123.2830	27.9255	122.3577	36.3733	123.2830	27.9255
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.3335	0.1785	Dico paca lentamente	-4.3168	8.7077	-4.9020	20.1725	-2.8360	31.1278	1.0972	42.6850	10.0293	49.5884	23.3528	51.5231	34.0370	46.6785	39.2516	42.9341	43.6095	39.9038	48.7432	36.3911	53.0166	32.6674	81.6937	23.5033	122.8981	27.0890	121.1554	35.0269	122.8981	27.0890
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.3569	0.2019	Dico paca lentamente	-2.5250	7.7351	-4.5214	17.9983	-3.8520	28.1332	0.4933	39.6211	8.8612	47.5037	21.6968	50.2431	33.3645	47.0487	38.5078	44.1338	43.5629	41.4498	49.0520	39.7601	53.8509	37.4949	81.1383	25.7495	122.3422	26.7634	120.9733	34.7885	122.3422	26.7634
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.3803	0.2253	Dico paca lentamente	-5.6796	8.5190	-6.0881	18.8205	-3.2980	29.1035	3.5198	39.1512	10.8451	46.5672	22.6141	49.8293	34.3184	47.6319	39.1840	43.8666	43.7255	40.7840	48.6216	38.5973	53.6680	35.5885	81.7278	25.3200	121.7494	27.1835	119.7780	36.1410	121.7494	27.1835
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4037	0.2487	Dico paca lentamente	-7.8526	10.2748	-8.2772	21.0150	-3.5325	32.3551	6.4770	42.0828	14.7847	48.0688	27.3817	50.7070	37.7582	47.9390	41.8711	44.1075	46.1698	40.4796	50.6830	37.7293	55.3330	34.4163	83.0200	23.8475	121.1696	27.1559	119.6759	36.3331	121.1696	27.1559
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.4271	0.2721	Dico paca lentamente	-4.9750	7.6587	-7.0751	17.7465	-4.0739	29.3218	3.6965	40.1231	10.8304	48.7016	22.1191	53.9145	33.1829	50.8890	37.2088	47.0952	41.6164	43.8992	46.5761	41.3263	51.1937	38.6903	82.1130	26.9559	120.9683	27.3102	119.4585	36.4987	120.9683	27.3102
