Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 Spline 1	Y1 Spline 1	X1 Spline 1	Y2 Spline 1	X2 Spline 1	Y3 Spline 1	X3 Spline 1	Y4 Spline 1	X4 Spline 1	Y5 Spline 1	X5 Spline 1	Y6 Spline 1	X6 Spline 1	Y7 Spline 1	X7 Spline 1	Y8 Spline 1	X8 Spline 1	Y9 Spline 1	X9 Spline 1	Y10 Spline 1	X10 Spline 1	Y11 Spline 1	X11 Spline 1	Y12 Spline 1	X12 Spline 1	Y13 Spline 1	X13 Spline 1	Y14 Spline 1	X14 Spline 1	Y15 Spline 1	X15 Spline 1	Y16 Spline 1	X16 Spline 1	Y17 Spline 1	X17 Spline 1	Y18 Spline 1	X18 Spline 1	Y19 Spline 1	X19 Spline 1	Y20 Spline 1	X20 Spline 1	Y21 Spline 1	X21 Spline 1	Y22 Spline 1	X22 Spline 1	Y23 Spline 1	X23 Spline 1	Y24 Spline 1	X24 Spline 1	Y25 Spline 1	X25 Spline 1	Y26 Spline 1	X26 Spline 1	Y27 Spline 1	X27 Spline 1	Y28 Spline 1	X28 Spline 1	Y29 Spline 1	X29 Spline 1	Y30 Spline 1	X30 Spline 1	Y31 Spline 1	X31 Spline 1	Y32 Spline 1	X32 Spline 1	Y33 Spline 1	X33 Spline 1	Y34 Spline 1	X34 Spline 1	Y35 Spline 1	X35 Spline 1	Y36 Spline 1	X36 Spline 1	Y37 Spline 1	X37 Spline 1	Y38 Spline 1	X38 Spline 1	Y39 Spline 1	X39 Spline 1	Y40 Spline 1	X40 Spline 1	Y41 Spline 1	X41 Spline 1	Y42 Spline 1	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible
it13	19/02/2018 15:33:40	0.6704	0.0050	Dico paca lentamente																																																																																					61.3909	39.1932	66.4562	47.4156	69.2179	58.2279	75.1154	66.8863	82.9115	72.0212	92.3048	70.8081	99.2216	64.0014	100.3086	58.8177	101.9751	55.1843	104.1717	52.0119	105.9268	47.2544	62.6301	31.6432	88.2952	20.0815
it13	19/02/2018 15:33:40	0.6853	0.0199	Dico paca lentamente																																																																																					62.4441	39.3676	65.3546	53.5301	69.1251	64.8604	76.4418	70.3621	84.4948	72.8277	91.3914	71.2099	97.6254	64.3109	99.1669	60.3288	100.3038	57.0696	102.8735	53.8495	104.0762	50.6423	66.3181	32.2954	94.7084	28.9419
it13	19/02/2018 15:33:40	0.7002	0.0348	Dico paca lentamente																																																																																					60.6393	39.5176	64.2962	48.9246	66.4468	60.5150	73.0842	69.4066	82.2573	72.9447	91.3654	71.5883	97.5857	65.2459	99.1443	60.7672	100.3149	56.7860	102.7291	53.3743	104.1372	48.7408	58.7224	32.4832	91.2546	21.9245
it13	19/02/2018 15:33:40	0.7151	0.0497	Dico paca lentamente																																																																																					63.6373	38.3958	66.9742	47.7089	65.8640	60.4526	74.0489	70.4539	83.3411	72.5691	87.8240	72.6113	94.8128	65.4984	96.7712	61.1107	97.5297	57.9248	99.6247	53.7209	102.1837	50.1059	57.3940	32.1382	93.3782	28.1891
it13	19/02/2018 15:33:40	0.7300	0.0646	Dico paca lentamente																																																																																					60.2352	39.8742	63.0859	50.7418	65.1976	61.0526	72.1835	69.3418	81.5455	72.8121	87.7810	71.5071	94.1831	63.9580	95.4890	59.0300	96.8504	55.3558	99.1732	51.5200	102.8591	46.8763	57.0660	32.7868	87.5117	19.7399
it13	19/02/2018 15:33:40	0.7449	0.0795	Dico paca lentamente																																																																																					58.2283	39.4353	61.9244	48.7725	65.1169	59.4248	71.0973	68.0349	78.0855	73.8627	87.4161	72.1420	93.0452	63.8673	94.6830	58.6598	96.4078	54.3441	99.3577	50.5303	102.4504	46.0166	57.0435	34.5153	87.4688	22.2943
it13	19/02/2018 15:33:40	0.7597	0.0944	Dico paca lentamente																																																																																					58.7724	38.9015	61.6996	47.5784	64.2929	58.2094	68.6905	66.7060	75.8127	72.4258	85.1852	70.7693	91.0042	61.8622	92.0761	57.0635	94.8617	53.6389	98.2912	49.1863	101.5764	44.9049	59.8396	33.2976	87.7623	24.8975
it13	19/02/2018 15:33:40	0.7746	0.1092	Dico paca lentamente																																																																																					57.4388	39.1178	58.9990	47.0760	62.4072	56.9346	66.7631	65.1363	72.8874	70.9121	82.5625	69.6822	89.2356	60.9903	90.0197	56.7349	93.1408	53.6099	96.8258	50.1432	100.4524	46.5044	59.6992	32.3801	91.1417	30.0876
it13	19/02/2018 15:33:40	0.7895	0.1241	Dico paca lentamente																																																																																					55.3814	38.3245	56.6304	47.0912	59.1007	55.7427	63.9536	64.0324	70.3174	69.8987	79.9662	68.6308	85.9714	60.6576	87.5034	56.3820	90.9059	53.2384	94.5966	50.1954	97.6070	46.4814	57.4518	30.9616	88.3780	29.6773
it13	19/02/2018 15:33:40	0.8044	0.1390	Dico paca lentamente																																																																																					54.0818	37.4222	54.6041	46.9953	56.9555	55.5290	61.5494	63.9164	68.7277	69.3574	78.6046	68.0758	84.5717	60.3272	86.3098	56.0789	89.1482	53.4575	93.8205	50.3502	96.8411	46.8866	57.8817	28.5140	100.3670	34.5049
